Year,Decade,Recent,Runtime_Encoded,Director_Num_Movies,Writer_Num_Movies,Main_Actor_Num_Movies,Company_Num_Movies,Scaled_Standardized_Budget,Normalized_Score,Log_Votes,G,PG,PG-13,R,NC-17,Not Rated,Unrated,X,Action,Adventure,Animation,Comedy,Crime,Drama,Fantasy,Horror,Mystery,Romance,Sci-Fi,Thriller,Western,Log_Worldwide_Gross
2013,2010,1,1,12,3,28,292,0.22470603437136577,0.472972972972973,16.48273883399067,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.62742030175273
2018,2010,1,1,3,1,28,4,0.22470603437136577,0.5945945945945946,15.64006001130563,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.38829694910058
2004,2000,0,1,9,1,28,292,0.21066085383461514,0.6621621621621622,17.32705602664604,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.408990186836846
2014,2010,1,1,7,1,28,1,0.11234459007736083,0.6216216216216216,16.333207111220425,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.970083805397596
2004,2000,0,2,5,4,28,292,0.22470603437136577,0.6081081081081081,15.90737474309945,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.133940690988993
2009,2000,0,2,5,6,28,320,0.21066085383461514,0.5945945945945946,16.266515742283485,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.388984420125993
2008,2000,0,1,8,2,28,98,0.22470603437136577,0.5540540540540541,16.012735246411598,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.478800132747768
2007,2000,0,2,5,4,28,16,0.05616386793035836,0.7432432432432432,16.056220353623207,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.22009513349948
2002,2000,0,1,8,8,28,152,0.07020904846710899,0.7297297297297297,16.536806051605975,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.323915013979285
2012,2010,1,1,3,1,28,292,0.2387512149081164,0.7027027027027027,16.959662879739987,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21.999677249663417
2015,2010,1,0,3,1,28,292,0.22470603437136577,0.6486486486486487,16.24031337217814,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.28098931390445
