Year,Decade,Recent,Runtime_Encoded,Director_Num_Movies,Writer_Num_Movies,Main_Actor_Num_Movies,Company_Num_Movies,Scaled_Standardized_Budget,Normalized_Score,Log_Votes,G,PG,PG-13,R,NC-17,Not Rated,Unrated,X,Action,Adventure,Animation,Comedy,Crime,Drama,Fantasy,Horror,Mystery,Romance,Sci-Fi,Thriller,Western,Log_Worldwide_Gross
2016,2010,1,1,6,4,24,1,0.14043495115086208,0.3783783783783784,15.702580358511794,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.156269959772626
2003,2000,0,0,6,2,24,66,0.11234459007736083,0.5405405405405406,15.53827733427679,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.079346727288396
1999,1990,0,2,1,3,24,320,0.19099760108316427,0.5675675675675675,15.671808704579888,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.62847653434586
2014,2010,1,1,4,4,24,3,0.028073506856857125,0.5945945945945946,15.38412668421143,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.01499219274672
2004,2000,0,1,4,2,24,203,0.05616386793035836,0.6486486486486487,16.97251102166758,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.24457562984064
2006,2000,0,1,11,3,24,203,0.30897711759186947,0.6081081081081081,17.290577819152638,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22.471563058591855
2009,2000,0,1,11,3,24,203,0.4213385618858744,0.5540540540540541,16.722411672456456,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22.14180028134245
2007,2000,0,1,9,2,24,72,0.1685253122243633,0.527027027027027,15.990262393084793,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.97366013170094
2004,2000,0,1,17,1,24,72,0.11234459007736083,0.3918918918918919,14.914123179965662,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.791832498364656
2013,2010,1,1,6,4,24,203,0.252796395444867,0.7297297297297297,17.216707972959764,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.355246511928684
2000,2000,0,2,1,1,24,3,0.08144519289650948,0.6081081081081081,15.424948670398354,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.211526130534143
2004,2000,0,1,9,1,24,50,0.1685253122243633,0.5675675675675675,16.46168542627038,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.255473722669738
2006,2000,0,2,5,3,2,7,0.1685253122243633,0.7567567567567568,16.98938905874274,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21.02366609012925
2017,2010,1,1,2,2,2,11,0.11234459007736083,0.7972972972972974,15.702580358511794,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21.54734759175223
2013,2010,1,2,9,1,4,72,0.07863615678915935,0.5810810810810811,15.201805169084134,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.321805829022775
2014,2010,1,1,1,1,4,4,0.03930965128625763,0.8243243243243243,18.073956145011074,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.57151624394558
2016,2010,1,1,5,3,4,11,0.4634741034961263,0.7567567567567568,17.955465647361994,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.63682749878061
2018,2010,1,0,1,2,4,320,0.21066085383461514,0.5945945945945946,15.573368647930426,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.35563080448625
2018,2010,1,2,1,4,1,292,0.09829940954061021,0.7027027027027027,16.395727463314174,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.446691710201616
2005,2000,0,2,6,1,1,66,0.22470603437136577,0.6486486486486487,14.557448378884015,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.495544225636873
2012,2010,1,1,4,3,1,1,0.1938066371905144,0.5405405405405406,16.530205368010318,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.875742946564525
2013,2010,1,2,2,2,1,1,0.03088254296420724,0.7837837837837838,15.341567078850604,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.657605701930663
1982,1980,0,2,1,1,1,1,0.016837362427456634,0.8378378378378379,15.59046307836746,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.034396025473022
1981,1980,0,0,7,2,1,3,0.0034944409175435565,0.5675675675675675,15.623799493077952,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.196456674724338
1986,1980,0,1,6,3,5,99,0.0365006151789075,0.6756756756756757,14.80876270134486,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.389538012379013
1993,1990,0,1,3,2,5,98,0.07863615678915935,0.6756756756756757,16.176364653421913,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.923595244827226
1982,1980,0,1,1,1,5,1,0.037624229621847555,0.3783783783783784,11.496806245590331,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17.17227878740604
1988,1980,0,2,14,1,5,3,0.05616386793035836,0.6756756756756757,14.690979711984754,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.16188103698146
1991,1990,0,2,3,3,5,3,0.11234459007736083,0.6081081081081081,13.180634172318978,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.26235310082404
2009,2000,0,1,1,3,2,55,0.05616386793035836,0.41891891891891886,14.946912992035967,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.419865410547295
2006,2000,0,2,9,1,2,72,0.19661567329786453,0.6216216216216216,15.775605482856605,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.164293244236497
2007,2000,0,1,2,3,1,1,0.019646398534806764,0.040540540540540515,14.220976332738882,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17.86091346204231
1987,1980,0,0,3,2,1,292,0.06740001235975886,0.040540540540540515,13.579789490265188,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.64746171029416
1995,1990,0,0,3,1,1,98,0.050545795715658114,0.6756756756756757,15.38412668421143,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.68335415848854
2013,2010,1,1,1,2,1,292,0.2190879621566655,0.6081081081081081,16.056220353623207,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21.732412612786387
1991,1990,0,1,8,1,14,99,0.09829940954061021,0.6891891891891893,15.687312888712007,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.272402970522684
1989,1980,0,1,13,5,14,292,0.10391748175531046,0.6351351351351351,16.74403413530075,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.490567949736008
1993,1990,0,1,9,1,14,292,0.040995072950667705,0.8243243243243243,17.891351665599743,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.381817802952195
1990,1990,0,0,3,3,14,1,0.042118687393607745,0.6621621621621622,14.508658238524095,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.843340512939257
2005,2000,0,1,8,8,14,40,0.028073506856857125,0.7162162162162162,16.118095750958314,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.975239151859007
1981,1980,0,1,13,3,14,292,0.028073506856857125,0.6756756756756757,15.732433317205148,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.564234936021574
2015,2010,1,1,17,3,14,2,0.042118687393607745,0.4864864864864865,13.910821646859095,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17.340154934369536
1988,1980,0,1,14,3,14,271,0.08987230121855984,0.6891891891891893,16.012735246411598,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.217908569429785
1997,1990,0,1,5,1,14,295,0.05616386793035836,0.6351351351351351,14.946912992035967,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.736733784809548
1996,1990,0,1,3,1,14,1,0.0842542290038596,0.5,13.444448325847754,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.236239754747444
2003,2000,0,1,6,5,14,40,0.011219290212756389,0.7837837837837838,17.56736483471378,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.89457236797567
2014,2010,1,1,2,2,14,7,0.0365006151789075,0.7162162162162162,16.097893045681612,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.12246499562409
1984,1980,0,2,1,1,14,292,0.0365006151789075,0.6351351351351351,13.1421679654829,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.997862960263937
2004,2000,0,1,8,5,14,99,0.14043495115086208,0.7297297297297297,16.733281344102608,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.667954390794666
2010,2010,1,1,7,2,1,1,0.02245543464215688,0.6621621621621622,15.123843647884687,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.36918582110636
1992,1990,0,1,15,1,5,320,0.03930965128625763,0.5945945945945946,13.815511557963774,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.70205773861074
2001,2000,0,1,2,1,5,3,0.03088254296420724,0.7162162162162162,15.882373444019521,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.97588855099904
2004,2000,0,1,4,1,5,4,0.16009820390231294,0.32432432432432434,14.077875591662238,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.460378846549457
1998,1990,0,1,5,1,5,3,0.252796395444867,0.5135135135135135,14.845130332288226,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.04268003291685
1998,1990,0,2,14,2,5,5,0.0842542290038596,0.7567567567567568,15.702580358511794,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.910258426579137
1990,1990,0,0,2,1,5,2,0.005601217998056143,0.5540540540540541,12.923914877701906,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.60541726696326
1997,1990,0,2,7,4,5,6,0.042118687393607745,0.7702702702702704,16.410765339548004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.427384796966425
1998,1990,0,1,7,2,5,44,0.014028326320106518,0.6756756756756757,14.151983508870947,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.85404850524532
1995,1990,0,1,5,1,5,320,0.14043495115086208,0.5675675675675675,16.341239282272525,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.780806760073343
1988,1980,0,1,13,1,5,320,0.019646398534806764,0.6216216216216216,14.648420115681892,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.093371618714883
2017,2010,1,2,3,1,1,152,0.09829940954061021,0.7297297297297297,17.682536218382186,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.671739041566784
2019,2010,1,1,2,1,1,152,0.042118687393607745,0.6756756756756757,14.603968372873895,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.013824705104504
2005,2000,0,1,13,1,8,271,0.09829940954061021,0.527027027027027,14.557448378884015,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.6518651348564
1996,1990,0,2,2,2,8,66,0.0027921818907060275,0.8243243243243243,16.001561947061912,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.31448535125007
2008,2000,0,1,2,4,8,1,0.050545795715658114,0.41891891891891886,14.285514812209815,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.15620616942961
2004,2000,0,1,10,2,8,320,0.0842542290038596,0.7162162162162162,15.607270193858982,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.244435689948943
2003,2000,0,1,2,2,8,292,0.06459097625240873,0.6891891891891893,16.432906463791053,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.455241023055354
2001,2000,0,1,9,12,8,5,0.05616386793035836,0.7567567567567568,16.176364653421913,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.058136556974684
2006,2000,0,1,2,1,8,295,0.0365006151789075,0.5945945945945946,14.603968372873895,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.52781888769277
2001,2000,0,1,10,1,8,1,0.011219290212756389,0.6891891891891893,15.943742382861155,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.925012110697757
1991,1990,0,1,6,1,1,98,0.09829940954061021,0.6216216216216216,15.520258832020865,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.961926537782762
2000,2000,0,2,6,5,4,292,0.1685253122243633,0.8108108108108107,17.073607134447293,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.976373518686152
1999,1990,0,1,1,1,4,2,0.007005736051731201,0.6756756756756757,13.444448325847754,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.38204335343359
1998,1990,0,1,3,5,4,2,0.07020904846710899,0.7162162162162162,13.415034483903348,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.866321245475547
2000,2000,0,1,3,2,4,12,0.023859952695831937,0.6216216216216216,13.444448325847754,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.811499692091811
1992,1990,0,1,1,2,7,44,0.12077169839941121,0.5405405405405406,13.017005083966255,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.709713161777316
2013,2010,1,1,1,1,7,98,0.5617903672533806,0.7162162162162162,17.3180604640072,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.729544628974338
1988,1980,0,1,2,7,7,97,0.03369157907155737,0.5135135135135135,11.506917452956234,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17.49575284389941
2012,2010,1,1,6,1,7,203,0.07020904846710899,0.5540540540540541,14.731801689838349,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.90368750759911
1994,1990,0,1,3,4,7,44,0.11234459007736083,0.4864864864864865,14.45736497045232,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.893660702126365
1991,1990,0,1,5,4,7,44,0.07582712068180923,0.6621621621621622,15.444751293772967,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.305670210492355
1989,1980,0,1,15,6,7,44,0.04492772350095787,0.7702702702702704,16.816230422780546,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.653186662431633
1995,1990,0,1,5,2,2,320,0.0365006151789075,0.6486486486486487,14.603968372873895,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.166853871739626
1996,1990,0,1,5,1,2,271,0.12638977061411144,0.41891891891891886,15.009433329466965,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.97014922740802
2000,2000,0,2,5,5,1,5,0.03593880795743748,0.8243243243243243,16.166885910365842,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.808465746014804
2016,2010,1,1,13,7,1,11,0.028073506856857125,0.6756756756756757,15.483217567201578,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17.653772937061
2016,2010,1,0,6,2,3,292,0.04773675960830799,0.5945945945945946,16.333207111220425,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.898065425368593
2015,2010,1,1,1,1,3,10,0.07020904846710899,0.7162162162162162,16.588099342704055,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.302635365324964
2016,2010,1,1,10,1,3,2,0.0842542290038596,0.472972972972973,13.910821646859095,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.729709021844897
2003,2000,0,0,2,1,1,1,0.0013876638370309557,0.5135135135135135,15.46416937585933,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20.11965730563154
2002,2000,0,0,1,1,1,4,0.05616386793035836,0.527027027027027,14.45736497045232,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20.864087913702225
1986,1980,0,1,1,4,1,4,0.050545795715658114,0.6621621621621622,12.73670383776449,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.599491152205623
1984,1980,0,1,2,1,2,2,0.019646398534806764,0.14864864864864863,13.1421679654829,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.305817452940133
1981,1980,0,1,2,1,2,97,0.018241880481131692,0.2027027027027027,13.180634172318978,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.71719480998281
1982,1980,0,1,11,1,1,6,0.03369157907155737,0.8243243243243243,15.86963441986494,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.221145727932115
1988,1980,0,1,17,1,2,99,0.19661567329786453,0.7837837837837838,16.74403413530075,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21.916594038271036
1993,1990,0,1,1,2,2,3,0.13481687893616182,0.29729729729729726,15.424948670398354,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.15858425417614
1990,1990,0,0,1,3,1,3,0.0842542290038596,0.6756756756756757,15.201805169084134,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.447849306670378
1991,1990,0,0,1,1,1,1,0.003915796333646068,0.5,13.060490101343552,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.956142556513372
2018,2010,1,1,4,3,1,203,0.24717832323016675,0.45945945945945943,16.300417291085605,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.196652051918065
2007,2000,0,1,6,3,1,98,0.4213385618858744,0.8243243243243243,18.005165315142214,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.55380694875165
1993,1990,0,1,1,1,1,5,0.014028326320106518,0.3513513513513513,12.154784614286667,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.298935994257638
2012,2010,1,1,2,2,24,1,0.042118687393607745,0.5810810810810811,16.432906463791053,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.753850136825474
2007,2000,0,2,2,2,24,295,0.0842542290038596,0.7567567567567568,16.666217117271472,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.826263851764956
2015,2010,1,2,2,1,24,320,0.028073506856857125,0.45945945945945943,14.45736497045232,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.32254437201792
1994,1990,0,2,9,3,24,3,0.1685253122243633,0.7567567567567568,17.220035762941695,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.528243259725915
1999,1990,0,2,10,1,24,55,0.1769524205464137,0.9324324324324325,19.06253463538792,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.735070883384438
2014,2010,1,2,6,5,24,292,0.19099760108316427,0.7702702702702704,17.60423536967236,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.47382259471881
2008,2000,0,2,10,7,24,295,0.4213385618858744,0.7972972972972974,17.918153939529997,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.93461967460263
2006,2000,0,2,5,5,24,271,0.07020904846710899,0.7432432432432432,17.19309810811699,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.025813221866805
1997,1990,0,2,3,1,24,7,0.19661567329786453,0.7027027027027027,16.410765339548004,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20.996780626444973
2004,2000,0,2,9,1,24,295,0.49156446456962755,0.7162162162162162,17.72753358339242,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.327509985308062
2001,2000,0,2,9,2,24,72,0.16009820390231294,0.5675675675675675,16.166885910365842,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.114260282217696
2019,2010,1,2,7,7,24,37,0.252796395444867,0.6216216216216216,16.85046359274847,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.006995760686735
2008,2000,0,1,6,12,24,40,0.10391748175531046,0.6891891891891893,17.27182727039325,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.2163076628201
2003,2000,0,0,1,7,24,72,0.1685253122243633,0.6486486486486487,15.444751293772967,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20.509739270090048
2013,2010,1,1,10,4,24,271,0.5337000061798793,0.6891891891891893,17.93941393860915,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.409679364669696
2009,2000,0,2,9,11,24,320,0.19661567329786453,0.8648648648648649,18.683045016112164,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.890955331634103
1998,1990,0,2,5,1,24,320,0.252796395444867,0.7162162162162162,16.920097281273396,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.080521313043736
2005,2000,0,1,7,5,24,37,0.30897711759186947,0.6216216216216216,17.64632352965885,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.30695023643932
1993,1990,0,1,5,1,24,14,0.025264470749506995,0.6486486486486487,15.46416937585933,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.991574952362853
2016,2010,1,2,17,8,24,271,0.2387512149081164,0.7027027027027027,16.496532155171714,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.901579540515502
2011,2010,1,2,3,5,24,292,0.14043495115086208,0.7702702702702704,17.46616882523204,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.820448899083917
1994,1990,0,2,11,1,24,73,0.0842542290038596,0.7567567567567568,16.54987813231892,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.19725451594834
2011,2010,1,2,3,2,24,1,0.08987230121855984,0.6621621621621622,16.65458907995242,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.185569749167307
1991,1990,0,1,2,2,24,1,0.0013876638370309557,0.527027027027027,12.847929163278053,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.711150652640026
2012,2010,1,1,1,1,9,1,0.016837362427456634,0.6891891891891893,15.843658936835498,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.887564517756353
2015,2010,1,1,6,5,9,292,0.10391748175531046,0.472972972972973,15.671808704579888,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.385762405709944
2014,2010,1,1,2,1,9,5,0.0842542290038596,0.472972972972973,14.845130332288226,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.745789917392617
2011,2010,1,1,9,5,9,295,0.22470603437136577,0.6081081081081081,17.669904471742225,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22.492718857101032
2012,2010,1,2,8,5,9,26,0.05897290403770848,0.7837837837837838,18.02763817065757,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.583673600501122
2014,2010,1,2,31,2,9,295,0.16515446889554314,0.7297297297297297,17.624392826645856,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.423323619769597
2011,2010,1,1,4,1,9,16,0.07582712068180923,0.7432432432432432,17.800784043719375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.20476223373444
2015,2010,1,1,3,8,9,9,0.05616386793035836,0.6351351351351351,16.213405921671733,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.718328030148758
2013,2010,1,1,9,3,9,2,0.2893138648404186,0.527027027027027,17.21336907180573,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22.00974005643048
1990,1990,0,1,5,1,1,1,0.014590133541576539,0.5405405405405406,13.45883704259595,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.018212325107896
1992,1990,0,1,6,1,2,203,0.028073506856857125,0.5945945945945946,13.664688831019712,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.782296369597766
1994,1990,0,1,4,2,2,1,0.06459097625240873,0.7702702702702704,16.648723960844016,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.043885854122767
1991,1990,0,1,13,11,1,320,0.016837362427456634,0.6081081081081081,14.978661680269907,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.56321900800394
2006,2000,0,2,10,2,1,295,0.7584228947678892,0.5540540540540541,17.126053607854647,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.087010836702543
2001,2000,0,1,3,2,4,271,0.13481687893616182,0.6081081081081081,16.22245575637265,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.56659483494039
2004,2000,0,0,4,1,4,203,0.14043495115086208,0.41891891891891886,15.90737474309945,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21.432150580377176
2006,2000,0,0,5,2,4,203,0.1685253122243633,0.41891891891891886,15.201805169084134,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21.083217198262915
2000,2000,0,1,9,3,4,72,0.04492772350095787,0.6081081081081081,16.59432989206649,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.903537545068712
2000,2000,0,1,3,1,1,1,0.028073506856857125,0.6756756756756757,14.403297778421795,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.476431810983666
2008,2000,0,1,10,3,14,320,0.40729338134912374,0.44594594594594594,16.54987813231892,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.118147794134888
1998,1990,0,1,5,3,14,1,0.09829940954061021,0.6351351351351351,15.623799493077952,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.813529083259617
